,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
0,1-1950,42.04,43.4,363.84,-22.9,76.8,33.48,34.0,396.48,-36.0,72.3,53.16,55.4,380.07,-17.0,93.4,0.03,0.0,0.02,0.0,2.68
1,2-1950,43.75,45.4,247.43,-17.0,77.4,34.59,35.4,262.38,-29.9,72.0,55.43,58.3,287.56,-9.0,92.3,0.02,0.0,0.01,0.0,1.65
2,3-1950,46.83,47.8,218.98,-8.7,84.9,37.0,37.9,215.41,-27.0,73.0,59.07,61.0,268.7,1.4,104.4,0.03,0.0,0.02,0.0,2.09
3,4-1950,55.48,56.3,160.49,13.2,86.0,45.2,45.0,158.0,1.9,77.0,67.87,70.0,204.33,20.3,103.3,0.02,0.0,0.01,0.0,2.44
4,5-1950,65.76,66.8,116.03,26.3,88.8,55.64,55.9,131.58,18.0,79.0,77.69,80.1,128.4,30.4,105.4,0.02,0.0,0.02,0.0,4.53
5,6-1950,73.34,74.5,85.9,34.1,103.2,62.88,64.0,101.13,24.1,91.2,85.16,86.4,92.32,39.9,115.3,0.02,0.0,0.02,0.0,3.03
6,7-1950,75.1,75.7,48.06,48.6,102.1,65.73,66.9,63.75,37.9,91.2,86.37,86.4,56.45,57.0,114.3,0.05,0.0,0.05,0.0,3.82
7,8-1950,74.62,75.3,58.51,47.3,98.3,64.13,64.9,72.97,33.1,87.3,86.75,87.3,69.25,55.0,116.2,0.03,0.0,0.03,0.0,4.09
8,9-1950,68.54,69.1,89.28,32.0,102.0,59.4,60.1,107.17,23.4,91.2,79.79,80.4,104.86,35.1,117.3,0.03,0.0,0.07,0.0,9.76
9,10-1950,63.08,64.4,97.29,27.4,87.9,52.61,53.1,104.25,15.4,81.3,75.67,78.1,133.88,34.3,106.3,0.02,0.0,0.02,0.0,5.75
10,11-1950,48.01,48.3,196.06,-5.0,86.6,38.04,37.4,193.95,-11.0,80.1,60.6,62.1,250.89,5.0,100.0,0.02,0.0,0.02,0.0,2.91
11,12-1950,39.89,40.95,205.74,-12.8,79.5,30.92,31.65,206.88,-27.0,70.0,51.11,52.3,270.39,-2.9,93.0,0.02,0.0,0.02,0.0,2.6
12,1-1951,39.04,40.5,249.47,-27.2,76.0,30.02,30.9,245.44,-36.6,71.1,50.17,52.3,312.12,-17.0,89.1,0.02,0.0,0.01,0.0,1.14
